name,food_type,address,neighborhood,price_range,rating,phone_number,website,delivery,notes,position
Oleana,Mediterranean,"134 Hampshire St, Cambridge, MA",Cambridge,$$$,4.8,(617) 661-0505,https://oleanarestaurant.com,Yes,Famous for Middle Eastern flavors,"(-71.097166, 42.370546)"
Neptune Oyster,Seafood,"63 Salem St, Boston, MA",North End,$$$,4.7,(617) 742-3474,https://neptuneoyster.com,No,Known for lobster rolls,"(-71.055956, 42.363227)"
Toro,Spanish Tapas,"1704 Washington St, Boston, MA",South End,$$$,4.6,(617) 536-4300,https://toro-boston.com,Yes,Trendy tapas bar,"(-71.07588, 42.336944)"
Myers + Chang,Asian Fusion,"1145 Washington St, Boston, MA",South End,$$,4.6,(617) 542-5200,https://myersandchang.com,Yes,Hip spot with creative Asian dishes,"(-71.066284, 42.343893)"
O Ya,Japanese,"9 East St, Boston, MA",Leather District,$$$$,4.8,(617) 654-9900,https://oyarestaurantboston.com,No,High-end sushi experience,"(-71.056932, 42.351365)"
Giulia,Italian,"1682 Massachusetts Ave, Cambridge, MA",Cambridge,$$$,4.8,(617) 441-2800,https://giuliarestaurant.com,Yes,Fresh pasta made in-house,"(-71.11998, 42.382498)"
Mamma Maria,Italian,"3 North Sq, Boston, MA",North End,$$$,4.7,(617) 523-0077,https://mammamaria.com,No,Elegant Italian dining,"(-71.053316, 42.364075)"
Union Oyster House,Seafood,"41 Union St, Boston, MA",Downtown,$$,4.4,(617) 227-2750,https://unionoysterhouse.com,Yes,Historic American restaurant,"(-71.05689, 42.361275)"
Sweet Cheeks Q,Barbecue,"1381 Boylston St, Boston, MA",Fenway,$$,4.5,(617) 266-1300,https://sweetcheeksq.com,Yes,Southern BBQ with biscuits,"(-71.101515, 42.343865)"
Sarma,Middle Eastern,"249 Pearl St, Somerville, MA",Somerville,$$$,4.7,(617) 764-4464,https://sarmarestaurant.com,Yes,Creative mezze and cocktails,"(-71.095468, 42.38824)"
Coppa,Italian Tapas,"253 Shawmut Ave, Boston, MA",South End,$$$,4.6,(617) 391-0902,https://coppa-boston.com,Yes,Small plates and charcuterie,"(-71.068708, 42.343455)"
Saltie Girl,Seafood,"281 Dartmouth St, Boston, MA",Back Bay,$$$,4.7,(617) 267-0691,https://saltiegirl.com,Yes,Trendy seafood and raw bar,"(-71.07758, 42.35113)"
Tatte Bakery & Cafe,Cafe,"70 Charles St, Boston, MA",Beacon Hill,$$,4.5,(617) 723-5555,https://tattebakery.com,Yes,Popular brunch and pastries,"(-71.0706, 42.357882)"
Row 34,Seafood,"383 Congress St, Boston, MA",Seaport,$$$,4.6,(617) 553-5900,https://row34.com,Yes,Modern seafood restaurant,"(-71.047608, 42.349601)"
Flour Bakery + Cafe,Bakery,"12 Farnsworth St, Boston, MA",Seaport,$$,4.7,(617) 338-4333,https://flourbakery.com,Yes,Famous for sticky buns,"(-71.048797, 42.351385)"
No. 9 Park,French-Italian,"9 Park St, Boston, MA",Beacon Hill,$$$$,4.7,(617) 742-9991,https://no9park.com,No,Fine dining by Barbara Lynch,"(-71.062825, 42.357618)"
The Friendly Toast,American Diner,"35 Stanhope St, Boston, MA",Back Bay,$$,4.5,(617) 456-7849,https://thefriendlytoast.com,Yes,Eclectic brunch spot,"(-71.073241, 42.348489)"
Yvonne’s,Modern American,"2 Winter Pl, Boston, MA",Downtown,$$$,4.7,(617) 267-0047,https://yvonnesboston.com,No,Chic supper club vibe,"(-71.061335, 42.355454)"
Legal Harborside,Seafood,"270 Northern Ave, Boston, MA",Seaport,$$$,4.5,(617) 477-2900,https://legalseafoods.com,Yes,Harbor views and seafood,"(-71.03779, 42.348644)"
The Capital Grille,Steakhouse,"900 Boylston St, Boston, MA",Back Bay,$$$$,4.7,(617) 262-8900,https://thecapitalgrille.com,No,Upscale steakhouse,"(-71.083913, 42.347948)"
No Relation,Mexican,"452 Newbury St, Boston, MA",Beacon Hill,$,4.6,(617) 571-3691,https://norelation.com,No,Cozy atmosphere,"(-71.08997, 42.348091)"
The Smoke Shop BBQ,Seafood,"429 Hanover St, Boston, MA",Seaport,$$,4.4,(617) 423-6973,https://thesmokeshopbbq.com,Yes,Cozy atmosphere,"(-71.052653, 42.365869)"
House of Siam,Mexican,"983 Newbury St, Boston, MA",North End,$$,4.8,(617) 592-1521,https://houseofsiam.com,Yes,Cozy atmosphere,"(-70.850356, 42.775224)"
Tres Gatos,Italian,"813 Newbury St, Boston, MA",Back Bay,$$,4.7,(617) 828-1058,https://tresgatos.com,Yes,Cozy atmosphere,"(-71.039073, 42.374234)"
The Beehive,Seafood,"389 Harrison Ave, Boston, MA",Cambridge,$$,4.4,(617) 751-6070,https://thebeehive.com,No,Cozy atmosphere,"(-71.063908, 42.344355)"
Menton,French,"176 Boylston St, Boston, MA",Fenway,$$$$,4.8,(617) 316-5923,https://menton.com,No,Great for groups,"(-71.06703, 42.352387)"
Alden & Harlow,Mexican,"453 Harrison Ave, Boston, MA",Seaport,$$$,4.4,(617) 793-1632,https://alden&harlow.com,No,Vegan options available,"(-71.065151, 42.342862)"
Pomodoro,Italian,"230 Newbury St, Boston, MA",Back Bay,$$$$,4.8,(617) 647-9660,https://pomodoro.com,Yes,Great for groups,"(-71.08138, 42.349654)"
The Salty Pig,Mexican,"653 Massachusetts Ave, Boston, MA",North End,$$$$,4.6,(617) 383-2668,https://thesaltypig.com,Yes,Vegan options available,"(-71.076312, 42.335862)"
Union Square Donuts,Mediterranean,"793 Boylston St, Boston, MA",Fenway,$,4.8,(617) 503-2590,https://unionsquaredonuts.com,No,Famous cocktails,"(-71.081596, 42.34924)"
Render Coffee,Bakery,"721 Washington St, Boston, MA",Back Bay,$$,4.7,(617) 601-2102,https://rendercoffee.com,Yes,Rooftop seating,"(-71.071163, 42.286119)"
The Salty Pig,Seafood,"671 Washington St, Boston, MA",North End,$,4.3,(617) 766-3737,https://thesaltypig.com,No,Cozy atmosphere,"(-71.17048, 42.351835)"
Yoki,Asian Fusion,"288 Cambridge St, Boston, MA",Beacon Hill,$$,4.8,(617) 449-4808,https://yoki.com,Yes,Rooftop seating,"(-71.06816, 42.360964)"
Del Frisco’s Double Eagle Steakhouse,Asian Fusion,"423 Boylston St, Boston, MA",Fenway,$$,4.7,(617) 361-9431,https://delfrisco’sdoubleeaglesteakhouse.com,No,Cozy atmosphere,"(-71.07273, 42.35162)"
Committee,American,"170 Cambridge St, Boston, MA",Somerville,$$,4.7,(617) 989-8957,https://committee.com,No,Great for groups,"(-71.064971, 42.360985)"
Ducali Pizzeria,American,"193 Massachusetts Ave, Boston, MA",Beacon Hill,$$$,4.5,(617) 246-1678,https://ducalipizzeria.com,Yes,Vegan options available,"(-71.086889, 42.345569)"
Lolita Cocina,Barbecue,"458 Harrison Ave, Boston, MA",Seaport,$$$,4.4,(617) 137-2278,https://lolitacocina.com,No,Great for groups,"(-71.06428, 42.34225)"
Craigie on Main,Mediterranean,"910 Cambridge St, Boston, MA",Back Bay,$,4.8,(617) 921-7201,https://craigieonmain.com,No,Famous cocktails,"(-71.148832, 42.349497)"
The Paramount,American,"494 Boylston St, Boston, MA",Somerville,$$$,4.6,(617) 382-4450,https://theparamount.com,No,Famous cocktails,"(-71.100562, 42.313628)"
Parish Café,Japanese,"85 Harrison Ave, Boston, MA",Seaport,$$,4.3,(617) 103-5870,https://parishcafé.com,Yes,Vegan options available,"(-71.061458, 42.350789)"
Tres Gatos,Japanese,"944 Massachusetts Ave, Boston, MA",Beacon Hill,$$$,4.5,(617) 786-4597,https://tresgatos.com,No,Famous cocktails,"(-71.069232, 42.329647)"
Antico Forno,French,"85 Hanover St, Boston, MA",Fenway,$$$,4.6,(617) 683-6465,https://anticoforno.com,Yes,Cozy atmosphere,"(-71.056948, 42.361899)"
Darryl’s Corner Bar & Kitchen,Bakery,"610 Washington St, Boston, MA",Downtown,$$$$,4.4,(617) 675-5806,https://darryl’scornerbar&kitchen.com,Yes,Cozy atmosphere,"(-71.16787, 42.350445)"
The Daily Catch,Barbecue,"160 Harrison Ave, Boston, MA",Cambridge,$,4.8,(617) 958-1175,https://thedailycatch.com,Yes,Cozy atmosphere,"(-71.061878, 42.349739)"
No Relation,American,"885 Washington St, Boston, MA",North End,$,4.9,(617) 452-3937,https://norelation.com,No,Cozy atmosphere,"(-71.06496, 42.347984)"
Shojo,French,"927 Massachusetts Ave, Boston, MA",Somerville,$$$$,4.8,(617) 903-6040,https://shojo.com,Yes,Great for groups,"(-71.06992, 42.33009)"
Barking Crab,Japanese,"827 Harrison Ave, Boston, MA",Somerville,$$$$,4.4,(617) 222-7302,https://barkingcrab.com,Yes,Great for groups,"(-71.073482, 42.336275)"
Ducali Pizzeria,Asian Fusion,"122 Washington St, Boston, MA",Back Bay,$$,4.7,(617) 510-2533,https://ducalipizzeria.com,No,Cozy atmosphere,"(-71.07989, 42.305134)"
Menton,Bakery,"918 Massachusetts Ave, Boston, MA",Cambridge,$$$$,4.7,(617) 424-8202,https://menton.com,Yes,Great for groups,"(-71.069999, 42.330545)"
Mei Mei,Seafood,"279 Massachusetts Ave, Boston, MA",Downtown,$$$$,4.6,(617) 880-5116,https://meimei.com,No,Famous cocktails,"(-71.08636, 42.343644)"
House of Siam,Barbecue,"346 Newbury St, Boston, MA",Fenway,$,4.5,(617) 460-1554,https://houseofsiam.com,No,Vegan options available,"(-71.08698, 42.348164)"
Legal Sea Foods,Italian,"128 Harrison Ave, Boston, MA",Downtown,$,4.4,(617) 677-1548,https://legalseafoods.com,Yes,Cozy atmosphere,"(-71.061637, 42.350337)"
Shojo,Asian Fusion,"51 Boylston St, Boston, MA",Back Bay,$,4.7,(617) 512-7539,https://shojo.com,Yes,Vegan options available,"(-71.06415, 42.352515)"
Yoki,Mediterranean,"522 Boylston St, Boston, MA",Fenway,$$$,4.5,(617) 528-5126,https://yoki.com,Yes,Great for groups,"(-71.10057, 42.313631)"
Mei Mei,Bakery,"268 Cambridge St, Boston, MA",Seaport,$$$,4.9,(617) 105-2309,https://meimei.com,No,Vegan options available,"(-71.056804, 42.35888)"
Krasi,Barbecue,"960 Boylston St, Boston, MA",Beacon Hill,$,4.7,(617) 787-4983,https://krasi.com,No,Rooftop seating,"(-71.100702, 42.313697)"
Trillium Brewing,Seafood,"328 Harrison Ave, Boston, MA",Fenway,$,4.4,(617) 942-3578,https://trilliumbrewing.com,No,Vegan options available,"(-71.063466, 42.345451)"
No Relation,Bakery,"697 Hanover St, Boston, MA",North End,$$,4.3,(617) 232-9480,https://norelation.com,Yes,Rooftop seating,"(-71.039073, 42.374234)"
Quincy Market Grill,Barbecue,"847 Newbury St, Boston, MA",Beacon Hill,$$$$,4.7,(617) 789-5271,https://quincymarketgrill.com,Yes,Famous cocktails,"(-71.056804, 42.35888)"
House of Siam,Asian Fusion,"311 Hanover St, Boston, MA",Somerville,$$,4.7,(617) 687-6170,https://houseofsiam.com,No,Great for groups,"(-71.054224, 42.364041)"
Ten Tables,Mediterranean,"459 Cambridge St, Boston, MA",Back Bay,$$$$,4.9,(617) 147-8208,https://tentables.com,Yes,Vegan options available,"(-71.136269, 42.354296)"
Peregrine,Italian,"481 Harrison Ave, Boston, MA",Downtown,$$,4.7,(617) 885-3532,https://peregrine.com,Yes,Vegan options available,"(-71.066582, 42.342017)"
Trade,Seafood,"63 Cambridge St, Boston, MA",Beacon Hill,$$$,4.4,(617) 512-6964,https://trade.com,No,Vegan options available,"(-71.06125, 42.360994)"
Sportello,American,"552 Hanover St, Boston, MA",Downtown,$$$$,4.8,(617) 636-7482,https://sportello.com,Yes,Vegan options available,"(-71.053034, 42.365357)"
Mei Mei,Japanese,"373 Massachusetts Ave, Boston, MA",Seaport,$$$$,4.5,(617) 391-7215,https://meimei.com,Yes,Great for groups,"(-71.083711, 42.3419)"
Temazcal Tequila Cantina,Italian,"103 Harrison Ave, Boston, MA",Beacon Hill,$$$,4.6,(617) 709-2962,https://temazcaltequilacantina.com,Yes,Famous cocktails,"(-71.061485, 42.350722)"
Little Donkey,Mediterranean,"440 Cambridge St, Boston, MA",North End,$$$,4.3,(617) 649-4353,https://littledonkey.com,Yes,Rooftop seating,"(-71.067856, 42.361109)"
Bon Me,Barbecue,"942 Newbury St, Boston, MA",Back Bay,$$$,4.7,(617) 331-8193,https://bonme.com,No,Cozy atmosphere,"(-70.850356, 42.775224)"
